    nPulses    Rat_ID    Treatment    Day    Exclude
    _______    ______    _________    ___    _______
     19218     R16-15       ADS        1      false 
      9790     R16-15       ADS        2      false 
     10584     R16-15       ADS        3      false 
     19923     R16-15       ADS        4      false 
      8734     R16-15       ADS        5      false 
     10276     R16-15       ADS        6      false 
     14561     R16-15       ADS        7      false 
     11719     R16-15       ADS        8      false 
      7188     R16-15       ADS        9      false 
     14466     R16-15       ADS       10      false 
      8770     R16-15       ADS       11      false 
     10606     R16-15       ADS       12      false 
      9390     R16-15       ADS       13      false 
      7297     R16-15       ADS       14      false 
     15409     R16-15       ADS       15      false 
      7818     R16-15       ADS       16      false 
      3315     R16-15       ADS       17      false 
      5368     R16-15       ADS       18      false 
      7361     R16-15       ADS       19      false 
     10868     R16-15       ADS       20      false 
      8791     R16-15       ADS       21      false 
     37679     R16-21       RS         1      false 
     37307     R16-21       RS         2      false 
     36647     R16-21       RS         3      false 
     37200     R16-21       RS         4      false 
     37362     R16-21       RS         5      false 
     37226     R16-21       RS         6      false 
     38032     R16-21       RS         7      false 
     38637     R16-21       RS         8      false 
     37449     R16-21       RS         9      false 
     36805     R16-21       RS        10      false 
     39019     R16-21       RS        11      false 
     37388     R16-21       RS        12      false 
     37064     R16-21       RS        13      false 
     39060     R16-21       RS        14      false 
     37363     R16-21       RS        15      false 
     36893     R16-21       RS        16      false 
     37070     R16-21       RS        17      false 
     37384     R16-21       RS        18      false 
     37407     R16-21       RS        19      false 
     37285     R16-21       RS        20      false 
     37825     R16-21       RS        21      false 
      6109     R16-25       ADS        1      false 
      9894     R16-25       ADS        2      false 
      5077     R16-25       ADS        3      false 
      4340     R16-25       ADS        4      false 
      6474     R16-25       ADS        5      false 
      6363     R16-25       ADS        6      false 
      7948     R16-25       ADS        7      false 
      6273     R16-25       ADS        8      false 
      8590     R16-25       ADS        9      false 
     10423     R16-25       ADS       10      false 
     17916     R16-25       ADS       11      false 
     12327     R16-25       ADS       12      false 
     10900     R16-25       ADS       13      false 
      8165     R16-25       ADS       14      false 
      9399     R16-25       ADS       15      false 
      9572     R16-25       ADS       16      false 
     14879     R16-25       ADS       17      false 
      9672     R16-25       ADS       18      false 
     11796     R16-25       ADS       19      false 
      6427     R16-25       ADS       20      false 
      9307     R16-25       ADS       21      false 
     37106     R16-26       RS         1      false 
     37589     R16-26       RS         2      false 
     37358     R16-26       RS         3      false 
     37239     R16-26       RS         4      false 
     36667     R16-26       RS         5      false 
     38010     R16-26       RS         6      false 
     56447     R16-26       RS         7      true  
     37415     R16-26       RS         8      false 
     37972     R16-26       RS         9      false 
     37292     R16-26       RS        10      false 
     37746     R16-26       RS        11      false 
     57457     R16-26       RS        12      true  
     37072     R16-26       RS        13      false 
     37140     R16-26       RS        14      false 
     37874     R16-26       RS        15      false 
     36958     R16-26       RS        16      false 
     37281     R16-26       RS        17      false 
     37539     R16-26       RS        18      false 
     37741     R16-26       RS        19      false 
     40703     R16-26       RS        20      false 
     38806     R16-26       RS        21      false 
     36682     R16-33       RS         1      false 
     37511     R16-33       RS         2      false 
     36765     R16-33       RS         3      false 
     37176     R16-33       RS         4      false 
     36857     R16-33       RS         5      false 
     38333     R16-33       RS         6      false 
     37126     R16-33       RS         7      false 
     36957     R16-33       RS         8      false 
     37574     R16-33       RS         9      false 
     37530     R16-33       RS        10      false 
     36913     R16-33       RS        11      false 
     37239     R16-33       RS        12      false 
     37218     R16-33       RS        13      false 
     36874     R16-33       RS        14      false 
     37175     R16-33       RS        15      false 
     37043     R16-33       RS        16      false 
     36855     R16-33       RS        17      false 
     36417     R16-33       RS        18      false 
     36769     R16-33       RS        19      false 
     37145     R16-33       RS        20      false 
     38354     R16-33       RS        21      false 
      7858     R16-34       ADS        1      false 
      7294     R16-34       ADS        2      false 
     10878     R16-34       ADS        3      false 
      6606     R16-34       ADS        4      false 
     17586     R16-34       ADS        5      false 
      6502     R16-34       ADS        6      false 
